platform,month,spend,roas,cumulative_spend,cut_amount,recommended_cut
"Email Marketing",2025-12-01,1796.66,0.67,1796.66,10077.00,1796.66
"Email Marketing",2025-10-01,791.74,1.21,2588.40,10077.00,791.74
"Email Marketing",2025-07-01,1362.00,1.74,3950.40,10077.00,1362.00
"Email Marketing",2025-06-01,1293.73,3.22,5244.13,10077.00,1293.73
"Email Marketing",2025-11-01,1555.69,3.36,6799.82,10077.00,1555.69
"Email Marketing",2025-02-01,724.90,3.63,7524.72,10077.00,724.90
"Email Marketing",2025-01-01,730.59,5.13,8255.31,10077.00,730.59
"Email Marketing",2025-03-01,1106.72,6.57,9362.03,10077.00,1106.72
"Email Marketing",2025-08-01,979.16,7.11,10341.19,10077.00,714.97
"Email Marketing",2025-09-01,758.43,7.35,11099.62,10077.00,0.00
"Email Marketing",2025-04-01,682.35,7.97,11781.97,10077.00,0.00
"Email Marketing",2025-05-01,749.19,9.17,12531.16,10077.00,0.00
"Facebook Ads",2025-09-01,3877.76,2.51,3877.76,5038.50,3877.76
"Facebook Ads",2025-11-01,6884.20,4.44,10761.96,5038.50,1160.74
"Facebook Ads",2025-03-01,4232.78,4.60,14994.74,5038.50,0.00
"Facebook Ads",2025-01-01,2367.52,5.01,17362.26,5038.50,0.00
"Facebook Ads",2025-05-01,2606.51,6.84,19968.77,5038.50,0.00
"Facebook Ads",2025-02-01,3426.60,7.15,23395.37,5038.50,0.00
"Facebook Ads",2025-10-01,4378.84,7.76,27774.21,5038.50,0.00
"Facebook Ads",2025-08-01,4299.84,9.20,32074.05,5038.50,0.00
"Facebook Ads",2025-07-01,3147.25,10.44,35221.30,5038.50,0.00
"Facebook Ads",2025-06-01,4942.69,13.12,40163.99,5038.50,0.00
"Facebook Ads",2025-04-01,4830.10,21.32,44994.09,5038.50,0.00
"Facebook Ads",2025-12-01,7480.08,26.88,52474.17,5038.50,0.00
"Google Ads",2025-03-01,4709.29,3.32,4709.29,25192.49,4709.29
"Google Ads",2025-09-01,6501.13,3.84,11210.42,25192.49,6501.13
"Google Ads",2025-02-01,3865.38,3.89,15075.80,25192.49,3865.38
"Google Ads",2025-07-01,5843.74,4.27,20919.54,25192.49,5843.74
"Google Ads",2025-01-01,2419.64,10.56,23339.18,25192.49,2419.64
"Google Ads",2025-10-01,7934.97,11.97,31274.15,25192.49,1853.31
"Google Ads",2025-06-01,6596.09,13.23,48596.47,25192.49,0.00
"Google Ads",2025-12-01,10726.23,13.23,48596.47,25192.49,0.00
"Google Ads",2025-08-01,4482.62,16.04,53079.09,25192.49,0.00
"Google Ads",2025-11-01,9175.05,17.07,62254.14,25192.49,0.00
"Google Ads",2025-04-01,6090.74,18.63,68344.88,25192.49,0.00
"Google Ads",2025-05-01,7647.25,26.63,75992.13,25192.49,0.00
"Instagram Ads",2025-11-01,2731.23,5.19,2731.23,10077.00,2731.23
"Instagram Ads",2025-08-01,1627.91,7.35,4359.14,10077.00,1627.91
"Instagram Ads",2025-09-01,2906.69,9.86,7265.83,10077.00,2906.69
"Instagram Ads",2025-05-01,2046.54,10.19,9312.37,10077.00,2046.54
"Instagram Ads",2025-07-01,2196.06,10.27,11508.43,10077.00,764.63
"Instagram Ads",2025-03-01,1879.89,13.89,13388.32,10077.00,0.00
"Instagram Ads",2025-04-01,3324.89,15.62,16713.21,10077.00,0.00
"Instagram Ads",2025-12-01,5671.66,16.08,22384.87,10077.00,0.00
"Instagram Ads",2025-02-01,1209.85,16.38,23594.72,10077.00,0.00
"Instagram Ads",2025-10-01,2800.41,21.29,26395.13,10077.00,0.00
"Instagram Ads",2025-06-01,3626.73,23.47,30021.86,10077.00,0.00
"Instagram Ads",2025-01-01,1728.09,27.89,31749.95,10077.00,0.00
